City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Port Moresby,-9.44,147.18,78.8,88,75,17.22,PG,1592321505
Dzhebariki-Khaya,62.22,135.8,53.87,73,0,1.32,RU,1592321505
Jinka,5.65,36.65,66.11,89,44,1.34,ET,1592321505
Avera,33.19,-82.53,66.2,77,90,10.29,US,1592321505
Wahpeton,46.27,-96.61,82.4,45,44,24.16,US,1592321263
Koygorodok,60.45,51.0,70.03,54,79,7.2,RU,1592321505
Safford,32.83,-109.71,84.2,32,1,10.29,US,1592321505
Takoradze,4.88,-1.76,81.19,80,56,13.78,GH,1592321506
Dryden,49.78,-92.75,73.4,69,1,9.17,CA,1592321506
Touros,-5.2,-35.46,78.8,83,40,13.87,BR,1592321377
Antalaha,-14.9,50.28,70.92,84,58,9.53,MG,1592321506
Yumen,40.28,97.2,73.81,24,0,14.61,CN,1592321506
Naze,28.37,129.48,77.0,94,75,6.93,JP,1592321507
Sioux Lookout,50.1,-91.92,73.4,69,75,9.17,CA,1592321507
Bonavista,48.65,-53.11,53.89,53,0,7.2,CA,1592321398
Esna,25.29,32.55,105.8,16,0,3.36,EG,1592321507
Oak Ridge,36.01,-84.27,71.01,65,53,1.01,US,1592321313
Vallenar,-28.57,-70.76,67.35,40,5,5.46,CL,1592321507
Kibaya,-5.3,36.57,60.3,70,91,6.91,TZ,1592321507
Kutum,14.2,24.67,90.99,21,68,5.46,SD,1592321507
Udachny,66.42,112.4,50.0,61,100,4.47,RU,1592321405
Sisimiut,66.94,-53.67,39.97,71,100,4.76,GL,1592321397
Mayumba,-3.43,10.66,75.16,85,100,5.5,GA,1592321508
Kedrovyy,56.17,91.82,48.2,81,7,2.24,RU,1592321508
Nizwá,22.93,57.53,102.72,13,83,5.57,OM,1592321508
Cardston,49.2,-113.3,59.0,44,40,11.41,CA,1592321508
Larap,14.3,122.65,79.18,85,88,5.61,PH,1592321508
Paita,-5.09,-81.11,75.2,64,40,21.92,PE,1592321509
Gambo,4.65,22.26,77.79,86,93,1.57,CF,1592321509
Old Town,44.93,-68.65,75.2,36,20,4.7,US,1592321509
Lincoln,40.8,-96.67,84.99,48,1,20.8,US,1592321390
Omboué,-1.57,9.26,76.41,83,79,8.55,GA,1592321509
Wagga Wagga,-35.12,147.37,50.0,100,90,3.36,AU,1592321444
Igarka,67.47,86.58,44.74,69,88,9.46,RU,1592321509
Pochutla,15.74,-96.47,87.8,58,20,3.24,MX,1592321509
Suez,29.97,32.53,91.4,20,0,16.75,EG,1592321510
Cockburn Town,21.46,-71.14,84.2,70,40,12.75,TC,1592321401
Chapais,49.78,-74.85,73.4,33,1,18.34,CA,1592321101
Port Keats,-14.25,129.55,75.13,33,26,13.76,AU,1592321510
Whitley Bay,55.04,-1.45,61.0,82,75,4.7,GB,1592321510
Taywarah,33.35,64.42,65.21,25,72,8.28,AF,1592321510
Bam,29.11,58.36,96.4,9,0,6.8,IR,1592321510
Airdrie,55.87,-3.98,71.6,60,100,2.24,GB,1592321469
Gudāri,19.35,83.78,80.33,83,99,1.32,IN,1592321510
Atar,20.52,-13.05,111.9,9,0,22.46,MR,1592321386
Benghazi,32.12,20.07,74.07,70,0,12.57,LY,1592321511
Byron Bay,-28.65,153.62,55.0,100,1,5.57,AU,1592321327
Alzamay,55.56,98.66,47.46,91,13,2.62,RU,1592321511
Pervomayskiy,53.25,40.29,71.11,77,63,5.48,RU,1592321511
Oranjestad,12.52,-70.03,87.8,66,40,26.4,AW,1592321358
Rognan,67.1,15.39,60.8,59,0,12.75,NO,1592321512
Barcelos,41.54,-8.62,70.0,68,20,10.29,PT,1592321512
Wanning,18.8,110.4,78.57,84,34,7.38,CN,1592321512
Kudahuvadhoo,2.67,72.89,83.73,78,2,7.92,MV,1592321512
Linxia Chengguanzhen,35.6,103.21,53.8,82,100,5.86,CN,1592321512
Caucayá,-0.19,-74.78,80.8,85,95,2.98,CO,1592321512
Hīt,33.64,42.83,97.2,10,0,13.11,IQ,1592321414
Poço Verde,-10.71,-38.18,79.99,69,14,13.24,BR,1592321513
Sambava,-14.27,50.17,71.96,84,91,12.62,MG,1592321513
Tabalosos,-6.35,-76.68,80.6,78,75,3.36,PE,1592321513
Novobiryusinskiy,56.96,97.71,46.81,79,0,3.51,RU,1592321513
Cayenne,4.93,-52.33,86.0,66,75,3.36,GF,1592321404
Kaeo,-35.1,173.78,55.99,3,3,3.0,NZ,1592321392
Moreira Sales,-24.06,-53.01,74.64,66,0,13.58,BR,1592321513
Esim,4.87,-2.24,80.85,80,69,13.82,GH,1592321513
Yozgat Province,39.58,35.33,71.49,53,36,4.12,TR,1592321513
Venado Tuerto,-33.75,-61.97,69.01,71,100,15.01,AR,1592321387
Chachapoyas,-6.23,-77.87,56.95,83,88,4.18,PE,1592321514
Yaan,7.38,8.57,87.8,63,93,7.07,NG,1592321514
Njombe,-9.33,34.77,48.65,89,59,5.93,TZ,1592321514
Greece,43.21,-77.69,72.0,40,20,6.93,US,1592321514
Dābhol,17.6,73.17,76.3,95,100,9.51,IN,1592321514
Winona,43.97,-91.77,75.2,44,1,3.36,US,1592321352
Luanda,-8.84,13.23,77.0,78,20,9.17,AO,1592321218
Manzhouli,49.6,117.43,67.01,45,2,4.07,CN,1592321515
Abancay,-13.63,-72.88,64.6,48,33,3.51,PE,1592321338
Sakakah,29.97,40.21,100.4,10,0,13.87,SA,1592321515
Yar-Sale,66.83,70.83,47.91,52,96,10.02,RU,1592321414
Zabid,14.2,43.32,93.78,44,88,10.33,YE,1592321515
Williams Lake,52.14,-122.14,48.2,93,75,3.36,CA,1592321515
Baghdad,33.34,44.4,105.8,13,0,14.99,IQ,1592321353
Namatanai,-3.67,152.43,79.95,80,100,4.79,PG,1592321235
Ţaga,46.95,24.05,77.0,53,20,2.24,RO,1592321516
Vao,-22.67,167.48,72.81,81,4,16.67,NC,1592321516
Heraclea,37.51,34.05,80.33,28,83,6.46,TR,1592321516
Inuvik,68.35,-133.72,60.8,38,75,13.87,CA,1592321516
Zhalantun,48.0,122.72,58.59,88,61,5.93,CN,1592321516
Rāvar,31.27,56.81,91.11,10,0,9.57,IR,1592321516
Balabac,7.99,117.06,83.43,80,1,9.98,PH,1592321516
São João da Barra,-21.64,-41.05,77.0,83,75,13.82,BR,1592321517
Östersund,63.18,14.64,73.4,43,0,3.36,SE,1592321517
Vrangel',42.73,133.08,54.3,90,38,8.43,RU,1592321517
Paragominas,-2.97,-47.48,87.28,55,1,8.55,BR,1592321130
Poum,-20.23,164.02,74.14,74,6,15.79,NC,1592321517
Qaqortoq,60.72,-46.03,41.0,86,75,5.82,GL,1592321384
Phang Nga,8.45,98.53,78.8,94,40,1.12,TH,1592321518
Namanyere,-7.52,31.05,62.11,65,28,3.13,TZ,1592321518
Dhidhdhoo,6.88,73.1,84.65,79,100,15.28,MV,1592321501
Tākestān,36.07,49.7,87.8,18,0,6.93,IR,1592321518
Orchard Homes,46.86,-114.05,55.0,76,75,3.36,US,1592321518
Mayabon,9.1,123.17,80.6,83,75,4.29,PH,1592321518
Killybegs,54.63,-8.45,57.2,100,90,12.75,IE,1592321518
Geraldton,-28.77,114.6,51.8,50,0,12.75,AU,1592321383
Broome,42.25,-75.83,72.0,43,0,1.99,US,1592321404
Tiassalé,5.9,-4.83,85.28,69,90,4.99,CI,1592321519
Cananea,30.95,-110.3,80.01,49,0,7.0,MX,1592321519
Cambridge,43.36,-80.31,71.01,52,1,8.05,CA,1592321244
Karratha,-20.74,116.85,72.91,43,0,8.66,AU,1592321519
Merauke,-8.47,140.33,78.42,82,91,18.99,ID,1592321519
Takapau,-40.03,176.35,48.0,94,85,2.24,NZ,1592321519
Sopot,54.44,18.56,73.0,43,25,9.17,PL,1592321519
Raudeberg,61.99,5.14,77.0,53,20,9.17,NO,1592321520
Paamiut,61.99,-49.67,36.82,80,88,2.37,GL,1592321497
Jalu,29.03,21.55,90.19,25,0,23.29,LY,1592321520
Swakopmund,-22.68,14.53,91.4,14,0,8.05,NA,1592321520
Saratovskaya,44.71,39.22,87.01,45,3,4.47,RU,1592321520
Dandong,40.13,124.39,63.37,63,8,2.21,CN,1592321520
Rørvik,64.86,11.24,66.2,63,0,14.99,NO,1592321520
Atbasar,51.8,68.33,60.19,52,30,10.36,KZ,1592321521
Kirakira,-10.45,161.92,79.05,84,100,10.92,SB,1592321521
Adrar,20.5,-10.07,108.66,9,0,22.82,MR,1592321406
Sistranda,63.73,8.83,73.4,56,20,14.99,NO,1592321521
Tateyama,34.98,139.87,75.0,72,0,8.01,JP,1592321521
Xichang,27.9,102.26,71.8,73,93,2.73,CN,1592321521
Maragogi,-9.01,-35.22,80.1,74,33,12.28,BR,1592321521
Barabai,-2.58,115.38,74.73,92,0,1.77,ID,1592321522
Celestún,20.87,-90.4,85.1,62,0,6.17,MX,1592321522
Maţāy,28.42,30.78,100.76,12,0,15.17,EG,1592321522
Mahanoro,-19.9,48.8,69.04,85,69,5.61,MG,1592321522
Wanaka,-44.7,169.15,46.8,77,100,5.75,NZ,1592321522
Goderich,43.75,-81.72,70.0,54,0,4.16,CA,1592321522
Ābu Road,24.48,72.78,96.44,35,100,8.05,IN,1592321523
Havøysund,71.0,24.66,42.8,75,75,19.46,NO,1592321523
Emerald,-23.53,148.17,59.0,62,28,12.75,AU,1592321523
Manzanillo,20.34,-77.12,86.79,63,99,3.53,CU,1592321523
Saryg-Sep,51.5,95.6,52.05,59,6,4.59,RU,1592321523
Ténenkou,14.46,-4.92,107.2,17,0,7.83,ML,1592321524
Fuyu,45.18,124.82,71.89,51,42,7.43,CN,1592321524
Rocha,-34.48,-54.33,66.81,81,89,10.76,UY,1592321524
Rameswaram,9.28,79.3,86.14,75,97,18.84,IN,1592321524
Hasaki,35.73,140.83,70.0,82,40,6.93,JP,1592321379
Novobelokatay,55.71,58.95,62.44,78,32,5.3,RU,1592321524
Makungu,-8.73,35.28,63.7,59,81,5.79,TZ,1592321225
Poso,-1.4,120.75,77.52,78,32,4.52,ID,1592321524
Comodoro Rivadavia,-45.87,-67.5,51.8,53,75,18.34,AR,1592321390
Monrovia,6.3,-10.8,84.2,83,75,9.17,LR,1592321525
Canary Islands,28.0,-15.5,78.01,73,20,16.11,ES,1592321525
Turbat,26.0,63.04,87.35,63,14,6.78,PK,1592321525
Abhā,18.22,42.51,82.4,36,40,12.75,SA,1592321525
Arrondissement de Foix,42.83,1.58,64.0,37,100,1.01,FR,1592321525
Tromsø,69.65,18.96,51.8,53,56,4.7,NO,1592321525
Bairiki Village,1.33,172.98,80.6,88,40,4.7,KI,1592321525
Visby,57.64,18.3,59.0,87,75,10.29,SE,1592321526
Katerero,-1.4,31.73,77.0,57,44,11.41,TZ,1592321526
Waingapu,-9.66,120.26,77.0,83,56,11.16,ID,1592321526
Saint-Pierre,-21.34,55.48,69.8,64,90,12.75,RE,1592321399
Nortelândia,-14.45,-56.8,89.67,38,0,7.31,BR,1592321526
Marsh Harbour,26.54,-77.06,79.81,77,100,9.75,BS,1592321381
Tétouan,35.57,-5.37,80.6,44,20,19.46,MA,1592321394
Ulladulla,-35.35,150.47,57.0,66,0,10.29,AU,1592321526
Yuci,37.68,112.73,64.4,77,100,2.24,CN,1592321527
Yangi Marg`ilon,40.43,71.72,82.4,28,20,4.7,UZ,1592321404
Kikwit,-5.04,18.82,85.39,35,0,2.77,CD,1592321527
Aklavik,68.22,-135.01,57.2,82,90,3.36,CA,1592321527
Angoche,-16.23,39.91,70.84,84,99,12.33,MZ,1592321527
Andahuaylas,-13.66,-73.39,61.32,48,29,5.82,PE,1592321527
Cavalcante,-13.8,-47.46,73.04,60,69,12.39,BR,1592321527
